model,epoch,val_f1,val_f1_std,val_rec,val_prec,test_f1,test_f1_std,test_rec,test_prec,run_id
Incel mBERT 1M,5,0.8497165803668321,0.007181277655507564,0.839240506329114,0.8604748382805847,0.6443600914973489,0.0104694971490522,0.58,0.7253318896092995,39
Incel mBERT 1M,5,0.8689026987685514,0.0031961397903148376,0.8776371308016877,0.8605703495293401,0.6997628722754644,0.013454831058779013,0.7016666666666667,0.6984600347123457,40
Umberto,5,0.855032974362589,0.0032033883254366205,0.8676691729323307,0.8428449507682039,0.69566109262078,0.010267929118741869,0.8789999999999999,0.5758288779440563,27
Umberto,4,0.7539194299068416,0.003855629163282134,0.8002481389578163,0.7127683625923146,0.4321968177015125,0.06008936529693433,0.319,0.6850120691325687,28
Umberto,4,0.9144997236798561,0.0039523981003028435,0.9307586206896552,0.8989473387915426,0.5689565288450542,0.031176333848255168,0.52,0.6307195772117686,29
Umberto,4,0.7878709885643127,0.005941735172358564,0.8239004149377592,0.75511609781938,0.6659563896461782,0.024121983463829953,0.758,0.594896906043438,30
Umberto,5,0.8832681107267991,0.0039018298286671456,0.9,0.8672017530172862,0.6968685185159814,0.019185161966715644,0.747,0.6531482007417633,31
Umberto,5,0.8283029756957276,0.0027933268112347344,0.8436316133246244,0.8137722126539707,0.5959971290364232,0.01673747121348924,0.526,0.6876648955404026,32
Umberto,5,0.8217620523003065,0.003256191730919271,0.8356476683937825,0.808384450554108,0.6802373759826692,0.015813884489286126,0.692,0.6711617714150486,33
mBERT base,5,0.8456323142013428,0.00977701002612535,0.8544303797468356,0.8370818208612631,0.4652794999010938,0.04551229498100701,0.34500000000000003,0.7253149194927604,17
mBERT base,4,0.8074981515408467,0.007506054567653629,0.8456140350877194,0.7752163893910945,0.6506761806886127,0.01282778743990688,0.891,0.5159161676207347,27
mBERT base,4,0.7169375880288691,0.011976207189599675,0.7446650124069479,0.693050105157726,0.49308627307646685,0.03706377497136527,0.45500000000000007,0.5404341591777686,28
mBERT base,5,0.8852643485058124,0.003256493848900566,0.8896551724137931,0.8812124369057173,0.4246713759952557,0.03365218532881736,0.384,0.47862500537907826,29
mBERT base,2,0.7320433447472171,0.01392895302112207,0.7434024896265561,0.7240740138196708,0.6186387822673488,0.033731457180355515,0.711,0.552115845362598,30
mBERT base,3,0.8443721303510496,0.002121874882182965,0.8727758007117437,0.8180941410821749,0.6386716079279193,0.023117498236770614,0.747,0.5600065271393586,31
mBERT base,3,0.7886400408157025,0.008420097722795401,0.8295231874591771,0.7535808993270144,0.5601227432058613,0.023269641918130895,0.621,0.5157327819765094,32
mBERT base,5,0.784260153737146,0.002435899431277089,0.7933678756476684,0.7753716859231686,0.5996995627922578,0.014378270711186915,0.634,0.5692208623082713,33
mBERT base,3,0.8407417261559693,0.0038160785194105177,0.8518987341772151,0.8320515138738909,0.6876455945249033,0.005580722779622101,0.921,0.5489798002884588,34
mBERT base,3,0.8463578861753597,0.002196329773372628,0.8664556962025316,0.8274066449876388,0.5288768947940625,0.041383631851791745,0.48200000000000004,0.5880236476082386,35
mBERT base,5,0.8437664057556855,0.00702679605393962,0.849367088607595,0.8383429793095711,0.6344325432170159,0.02282802256903482,0.587,0.6923170110429799,36
mBERT base,4,0.8440510973294908,0.006148461103040192,0.8443037974683545,0.8442574744993724,0.6156490495656687,0.028443126398012147,0.675,0.5678436465349735,37
mBERT base,5,0.8419137939412407,0.0037098198816479435,0.8443037974683545,0.8397668243848395,0.6759316392852648,0.012030931867973434,0.8009999999999999,0.5850274540685056,38
mBERT base,4,0.8466649670234713,0.007929546556299885,0.8405063291139241,0.8529996845059232,0.5697523413097015,0.047608390523331434,0.5349999999999999,0.6202706583104078,39
mBERT base,5,0.8370279243379695,0.007606980093798687,0.8291139240506329,0.8452010102164607,0.6130432647112988,0.018546449356636255,0.639,0.5897569105245986,40
