epoch,val_f1,val_prec,val_rec,test_f1,test_prec,test_rec,model,train_len,train_set(s),dev_set(s),test_set(s),run_id
0,0.5635673624288425,0.4024390243902439,0.939873417721519,0.5447545717035611,0.3788487282463186,0.9691780821917808,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.23274161735700197,0.3089005235602094,0.18670886075949367,0.2181818181818182,0.2660098522167488,0.18493150684931506,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.13008130081300814,0.4528301886792453,0.0759493670886076,0.1729106628242075,0.5454545454545454,0.10273972602739725,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.46774193548387094,0.4769736842105263,0.4588607594936709,0.45896147403685095,0.4491803278688525,0.4691780821917808,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.5417118093174431,0.41186161449752884,0.7911392405063291,0.5113759479956662,0.37400950871632327,0.8082191780821918,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.4556113902847571,0.48398576512455516,0.43037974683544306,0.4251700680272109,0.4222972972972973,0.4280821917808219,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.006309148264984227,1.0,0.0031645569620253164,0.0,0.0,0.0,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.5100133511348465,0.44110854503464203,0.6044303797468354,0.48974008207934333,0.40774487471526194,0.613013698630137,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.5355086372360846,0.384297520661157,0.8829113924050633,0.4985279685966633,0.3493810178817056,0.8698630136986302,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
0,0.37722419928825623,0.43089430894308944,0.33544303797468356,0.44250871080139376,0.450354609929078,0.4349315068493151,incel-bert-base-uncased-1000k_english,3642,train_incelsis(3642),dev_incelsis(780),test_incelsis(781),-1
